S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
53,57e1afc6-a597-4cab-9ddb-72a35c913358,210,ONGOING,2022-11-26 00:22:28.152239+00:00,,2022-11-28 00:22:28.156665+00:00,,,,,
54,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,3515,ONGOING,2022-11-26 00:22:41.478660+00:00,,2022-11-28 00:22:41.483780+00:00,,,,,
55,24d52554-971f-49a6-8d83-4e270eb44818,3534,ONGOING,2022-11-26 00:23:09.569370+00:00,,2022-11-28 00:23:09.573249+00:00,,,,,
56,57e1afc6-a597-4cab-9ddb-72a35c913358,3534,ONGOING,2022-11-26 00:23:23.507356+00:00,,2022-11-28 00:23:23.511208+00:00,,,,,
57,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,3517,COMPLETED,2022-11-26 00:23:30.234472+00:00,2022-11-26 00:29:49.043380+00:00,,,,,,
58,24d52554-971f-49a6-8d83-4e270eb44818,3520,ONGOING,2022-11-26 00:24:50.936509+00:00,,2022-11-28 00:24:50.942610+00:00,,,,,
59,24d52554-971f-49a6-8d83-4e270eb44818,3443,ONGOING,2022-11-26 00:24:23.494548+00:00,,2022-11-28 00:24:23.498483+00:00,,,,,
60,24d52554-971f-49a6-8d83-4e270eb44818,3173,ONGOING,2022-11-26 00:25:22.602633+00:00,,2022-11-28 00:25:22.606993+00:00,,,,,
61,24d52554-971f-49a6-8d83-4e270eb44818,3467,ONGOING,2022-11-26 00:25:37.121045+00:00,,2022-11-28 00:25:37.127820+00:00,,,,,
62,e066a509-b551-43bf-87a3-7416ecb7ce73,3467,COMPLETED,2022-11-26 00:25:37.991357+00:00,2022-11-26 00:44:59.401183+00:00,,,,,,
63,24d52554-971f-49a6-8d83-4e270eb44818,792,ONGOING,2022-11-26 00:25:50.333527+00:00,,2022-11-28 00:25:50.337973+00:00,,,,,
64,53134b4c-9bbf-4296-bea4-62587663f030,792,ONGOING,2022-11-26 04:17:34.507535+00:00,,2022-11-28 04:17:34.511207+00:00,,,,,
65,24d52554-971f-49a6-8d83-4e270eb44818,3015,ONGOING,2022-11-26 00:26:08.607626+00:00,,2022-11-28 00:26:08.611650+00:00,,,,,
66,c925ccad-98e7-4500-833e-a49aa066aeec,792,ONGOING,2022-11-26 00:26:52.872562+00:00,,2022-11-27 18:29:59+00:00,,,,,
